epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,8436.18,0.50964,0.24826,0.90502,0.99819,1,0.99427,0.88881,0.51851,0.204,0.89068,0.000486042,0.000486042,0.000486042
96,8571.89,0.51578,0.24381,0.90548,0.99822,1,0.99482,0.89548,0.50781,0.20082,0.89036,0.000481543,0.000481543,0.000481543
97,8708.33,0.512,0.24488,0.90179,0.99826,1,0.99432,0.89263,0.51738,0.20352,0.89097,0.000477043,0.000477043,0.000477043
98,8843.27,0.51902,0.24345,0.90771,0.9982,1,0.99469,0.89754,0.51032,0.20094,0.88877,0.000472544,0.000472544,0.000472544
99,8977.5,0.50617,0.24407,0.89862,0.9982,1,0.99478,0.89494,0.5093,0.20033,0.88929,0.000468044,0.000468044,0.000468044
100,9111.05,0.50841,0.24534,0.90059,0.99815,0.99934,0.99464,0.89336,0.51347,0.20334,0.88839,0.000463545,0.000463545,0.000463545
101,9244.74,0.51513,0.24275,0.90868,0.99807,0.99972,0.99474,0.8934,0.51607,0.20001,0.89053,0.000459045,0.000459045,0.000459045
102,9335.43,0.51453,0.24268,0.90399,0.99818,0.99974,0.99454,0.89372,0.51059,0.20241,0.88772,0.000454545,0.000454545,0.000454545
103,9407.5,0.50782,0.24287,0.90131,0.99764,0.9993,0.99452,0.89349,0.51005,0.19953,0.88714,0.000450046,0.000450046,0.000450046
104,9477.08,0.50768,0.24415,0.90184,0.99822,0.9994,0.99444,0.89161,0.51548,0.20565,0.89307,0.000445546,0.000445546,0.000445546
105,9545.94,0.49843,0.23633,0.89672,0.99818,1,0.99417,0.89188,0.51884,0.20189,0.89183,0.000441047,0.000441047,0.000441047
106,9612.81,0.50303,0.24278,0.90166,0.99763,0.9993,0.9945,0.89421,0.51381,0.20197,0.89121,0.000436547,0.000436547,0.000436547
107,9681.68,0.50086,0.23669,0.90183,0.99826,0.99952,0.99433,0.893,0.50864,0.1966,0.89025,0.000432048,0.000432048,0.000432048
108,9745.31,0.50056,0.24218,0.89768,0.9976,0.99933,0.99438,0.89324,0.51352,0.20272,0.89063,0.000427548,0.000427548,0.000427548
109,9811.49,0.50012,0.23755,0.89981,0.99823,1,0.99419,0.89299,0.51484,0.19724,0.89589,0.000423049,0.000423049,0.000423049
110,9875.45,0.4983,0.23692,0.89742,0.99815,1,0.99429,0.89324,0.51487,0.19845,0.89085,0.000418549,0.000418549,0.000418549
111,9942.31,0.49034,0.23548,0.8962,0.9982,0.99979,0.99428,0.88979,0.52318,0.20035,0.89635,0.000414049,0.000414049,0.000414049
112,10004.9,0.501,0.2387,0.90059,0.99823,0.99985,0.99459,0.89379,0.51868,0.20032,0.89727,0.00040955,0.00040955,0.00040955
113,10070.9,0.49672,0.23344,0.89568,0.99824,0.99992,0.9947,0.89379,0.51831,0.19687,0.89324,0.00040505,0.00040505,0.00040505
